Ⲛⲟ	Coptic Word	Deriv.	Alt.  Spellings	F.  (n. & adj.)	Pl.	(Status  nom.)	(Status pronom.)	Qual.	Gramm. Info.	Notes	Prepositions used	English	Example Sentence	
59		ⲉ ⲡⲁⲛⲁϣ							adv.			under oath		
60	ⲁⲛⲟⲕ		ⲁⲛⲅ-						indep. Pron. 1st pers. Sing.			I		
61	ⲁⲛⲟⲛ		ⲁⲛ-, ⲁⲛⲛ-						inep. Pron. 1st pers. Pl.			we		
62	ⲁⲛⲟⲩⲣϣⲉ								n. m.	(an + ou=rse)		watchman, guard		
63	ⲁⲛⲥⲏⲃⲉ		ⲁⲛⲥⲏⲃ (ⲉⲛ), ⲁⲛⲍⲏⲃⲉ, ⲁⲛⲍⲏⲃ (ⲉⲛ)						n. f.			school		
64	ⲁⲛⲧⲁϣ								n. m.			sneeze		
65	ⲁⲛⲧⲏⲗⲙ		ⲁⲛⲧⲉⲗⲙ						n. m.			skull		
66	ⲁⲛϩ		ⲟⲛϩ						n. m.			courtyard		
67	ⲁⲡⲁ								prop. n.			masc. title of respect or reverance (saints, martyrs, respected monks, etc.)		
68	ⲁⲡⲁⲥ								adj.	syn. of ⲁⲥ q.v.		old		
69	ⲁⲡⲉ				ⲁⲡⲏⲩⲉ				n. f. 			head (lit. and fig.); total sum (of money), capital		
70	ⲁⲡⲉ								n. m.			chief, village head		
71		ⲙⲛⲧⲁⲡⲉ							n. f. 			headship		
72		ⲁⲧⲁⲡⲉ							adj.			headless		
73		ⲣ-ⲁⲡⲉ							cpd. vb. 2		of: ⲉ	to become head, leader		
74		ϥⲓ-ⲧⲁⲡⲉ							vb.			to behead		
75	ⲁⲡⲟⲧ				ⲁⲡⲏⲧ				n. m.			cup		
76		ⲥⲁ ⲛ ⲁⲡⲟⲧ							n.			cup-maker, cup-seller		
77	ⲁⲡⲣⲏⲧⲉ								n. f. 			period of time		
78		ⲛ ⲟⲩⲕⲟⲩⲓ ⲛ ⲁⲡⲣⲏⲧⲉ							adv.			for a little while		
79		ⲛ ⲟⲩⲛⲟϭ ⲛ ⲁⲡⲣⲏⲧⲉ							adv.			for a long time		
80		ⲣ-ⲟⲩⲛⲟϭ ⲛ ⲁⲡⲣⲏⲧⲉ							vb.			to spend a long time		
81	ⲁⲡⲥ		ⲏⲡⲥ, ⲉⲡⲥ						n. f. 			a number (of), several		
82	ⲁⲣⲏⲃ		ⲉⲣⲏⲃ, ⲣⲏⲃ						n. m.			pledge, deposit, guarantee		
83	ⲁⲣⲏⲩ		ϩⲁⲣⲏⲩ						adv.			perhaps		
84	ⲁⲣⲏϫ-					ⲁⲣⲏϫ-			n.	suff. required, as in ⲁⲣⲏϫϥ ⲙ ⲡⲕⲁϩ - 'the end of the earth'; 3rd pers. pl. sometimes -ⲛⲟⲩ		end, limit		
85		ⲁⲧⲁⲣⲏϫ-							adj.			boundless		
86	ⲁⲣⲓⲕⲉ								n. m.			fault, blame		
87		ⲁⲧⲁⲣⲓⲕⲉ							adj.			blameless		
88		ϭⲛ-ⲁⲣⲓⲕⲉ							vb.		with: ⲉ	to find fault, to blame		
89		ⲣⲉϥϭⲛ-ⲁⲣⲓⲕⲉ							n. / adj.			fault-finder		
90		ⲙⲛⲧⲣⲉϥϭⲛ-ⲁⲣⲓⲕⲉ							n. f. 			criticism		
91	ⲁⲣⲓⲙ								n.			name of an edible plant		
92	ⲁⲣⲟⲟⲩⲉ		ⲁⲣⲱⲟⲩ						n. pl.			burrs, thistles		
93		ⲥⲣ-ⲁⲣⲟⲟⲩⲉ							n. pl.			burrs, thistles		
94	ⲁⲣⲟϣ								vb.			to become cold		
95	ⲁⲣⲟϣ								n. m.			cold, chill		
96	ⲁⲣϣⲁⲛ								n. 			name of a skin disease		
97	ⲁⲣϣⲓⲛ								n. m. 			lentils		
98	ⲁⲥ		ⲁⲁⲥ						adj.			old (usu. Not of people)		
99		ⲏⲣⲡ ⲁⲥ	ⲉⲣⲡ-ⲁⲥ						n.			old wine		
100		ⲙⲛⲧⲁⲥ							n. f. 			oldness		
101		ⲣ-ⲁⲥ							cpd. vb. 2			to become old		
102	ⲁⲥⲁⲓ							ⲁⲥⲱⲟⲩ, ⲁⲥⲉⲓⲱⲟⲩ	vb. Intr.			to become light, slight, casual; to be swift		
103	ⲁⲥⲁⲓ								n. m.			lightness, hastiness, alleviation		
104		ϩⲛ ⲟⲩⲁⲥⲁⲓ							adv.			easily, casually		
105	ⲁⲥⲏⲣ								n. m.			one's belongings		
106	ⲁⲥⲓⲕ		ⲥⲓⲕ						n. m.			an illness, related to fever, chills		
107	ⲁⲥⲟⲩ								n. f.			price, value		
108		ϯ-ⲁⲥⲟⲩ							vb.			to pay		
109		ⲣ-ⲁⲥⲟⲩ ϩⲁ							vb.			to set a price on		
110	ⲁⲥⲡⲉ								n. f.			language, speech		
111		ⲁⲥⲡⲉ ⲛ ⲗⲁⲥ							n. f.			language, speech		
112						ⲁⲧ-			pref.			prefix for the formation of negative adj.		
113	ⲁⲧⲟ		ⲁⲧⲁ						n. 	usu. with indef. art.		a lot, multitude		
114		ⲁⲧⲟ ⲛ ⲥⲙⲟⲧ	ⲁⲧⲉ-ⲥⲙⲟⲧ						adj.			phrase: of various or many sorts		
115	ⲁⲩ		ⲁⲩⲉ, ⲁⲩⲉⲓⲥ, ⲁⲩⲉⲓ						imptv.	(1) All forms occur prenominally; with pron. Suff.: aueic- (2) (with Conjunctive).		(1) bring here, give! (2) come! Come, let's …!		
116	ⲁⲩⲁⲛ		ⲁⲩⲁⲁⲛ, ⲁⲩⲉⲓⲛ						n. m.			color, appearance, complexion		
117		ⲥⲉⲕ-ⲁⲩⲁⲛ							vb.			to tend toward (a certain color)		
118		ⲁⲩⲁⲛ ⲁⲩⲁⲛ							adv.			(of or in) a variety of colors		
119	ⲁⲩⲉⲓⲛ		ⲁⲩⲁⲛ						n. m.			(ship's) cargo		
120	ⲁⲩⲏⲧ								n. m.			company of people; monastic congregation		
121	ⲁⲩⲱ								conj.	for uses see Gr. In.		and		
122	ⲁϣ								n. m.			furnace, oven		
123	ⲁϣ								interrog.	See §§ 14.2, 16.1 for usage		what?		
124	ⲁϣⲁⲓ							ⲟϣ	vb. Intr.	Q is very frequent.		to be(come) many, numerous, to multiply		
125	ⲁϣⲁⲓ								n. m.			amount		
126		ⲣⲉϥⲁϣⲁⲓ							n. / adj.			one who multiplies		
127	ⲁϣⲏ								n. f.			multitude		
128	ⲁϥ		ⲁⲁϥ, ⲁⲃ						n. m.			a fly		
129		ⲁϥ ⲛ ⲉⲃⲓⲱ							n. m.			bee		
130		ⲁϥ ⲛ ⲟⲩϩⲟⲣ							n. m.			dog-fly		
131	ⲁϥ		ⲁⲁϥ, ⲁⲃ		ⲁϥⲟⲩⲓ, ⲁⲃⲟⲩⲓ				n. m.			flesh (human or animal), piece of flesh, meat		
132		ⲥⲁ ⲛ ⲁϥ							n.			meat-seller		
133		ϣⲁⲧ-ⲁϥ							n.			butcher		
134		ⲟⲩⲉⲙ-ⲁϥ							vb.			to eat meat		
135		ϣⲉⲡ-ⲁϥ							vb.			to buy meat		
136	ⲁϩⲉ								n. m.			lifetime, extent of lifetime		
137		ⲣ-ⲁϩⲉ							vb.			to pass one's life		
138		ϣⲁϥ-ⲁϩⲉ							adj. (?)			short-lived		
139		ⲣ-ϣⲁⲣ-ⲁϩⲉ						ⲟ ⲛ ϣⲁⲣ-ⲁϩⲉ	vb.			to be short-lived		
140		ⲙⲛⲧϣⲁⲣ-ⲁϩⲉ							n. f. 			a short life		
141	ⲁϩⲉ								vb. Intr.		of: ⲛⲁ-	to be in need		
142	ⲁϩⲟ				ⲁϩⲱⲱⲣ				n. m.			treasure, treasure house, storehouse		
143	ⲁϩⲟⲙ								n.			only in ⲁϣ-ⲁϩⲟⲙ		
144		ⲁϣ-ⲁϩⲟⲙ							vb.			to sigh, groan (at: ⲉ, ⲉϫⲛ, ⲉϩⲣⲁⲓ ⲉϫⲛ)		
145	ⲁϩⲟⲙ								n. m.			groan, yawn, roar		
146	ⲁϩⲣ		ⲁϩⲣⲉ						n. m.			marsh herbage, sedge		
147						ⲁϩⲣⲟ-			interrog.	Requires anticipatory suff. referring to subject of clause		(1) with foll. Verb: why? As in ⲁϩⲣⲱⲧⲛ ⲧⲉⲧⲛⲣⲓⲙⲉ - 'why do you weep?' (2) with suff. Alone or with foll. Noun: what about …? What's the matter with …? (3) with ⲙⲛ: what has … to do with …?		
148	ⲁϩⲱⲙ		ⲁϩⲱⲙⲉ, ⲁϩⲱⲱⲙⲉ						n. m.			eagle (originally: falcon)		
149	ⲁϫⲉ		ⲁⲁϫⲉ (ⲟⲣ ⲟⲩⲁϫⲉ?)						n. 			blow, cuff		
150	ⲁϫⲛ		ⲉϫⲛ ⲉϫⲛⲧ-						prep.	a foll. Indef. N. has no article		without		
151	ⲁϭⲃⲉⲥ		ⲁⲧⲃⲉⲥ						n. f.			moisture		
152	ⲁϭⲟⲗⲧⲉ		ⲁⲕⲟⲗⲧⲉ						n. f. 			wagon, cart		
153	ⲁϭⲣⲏⲛ								n. f. 			a barren woman		
154		ⲙⲛⲧⲁϭⲣⲏⲛ							n. f. 			barrenness		
155		ⲣ-ⲁϭⲣⲏⲛ							cpd. vb. 2			to become barren		
156	ⲃⲁ		ⲃⲁⲉ, ⲃⲁⲉⲓ, ⲃⲟⲓ						n. m.			branch of date-palm		
157	ⲃⲁⲁⲃⲉ		(ⲃⲁⲃⲱⲱ-)			ⲃⲁⲃⲱ-		ⲃⲁⲃⲟⲧ (ⲃⲁⲃⲱ)	vb. Tr.			to despise (ⲙⲙⲟ-), regard as foolish		
158	ⲃⲁⲁⲃⲉ		(ⲃⲁⲃⲱⲱ-)			ⲃⲁⲃⲱ-		ⲃⲁⲃⲟⲧ (ⲃⲁⲃⲱ)	vb. Intr.			to be insipid, foolish		
159	ⲃⲁ(ⲁ)ⲃⲉ-ⲣⲱⲙⲉ								n. m.			boaster		
