Ⲛⲟ	Coptic Word	Deriv.	Alt.  Spellings	F.  (n. & adj.)	Pl.	(Status  nom.)	(Status pronom.)	Qual.	Gramm. Info.	Notes	Prepositions used	English	Example Sentence	
648	ⲕⲟⲓⲁϩⲕ		ⲕⲓⲁϩⲕ, ⲭⲟⲓⲁ(ϩ)ⲕ, ⲭⲟⲓⲁⲭ						prop. n.			name of 4th Copt. Month		
649	ⲕⲟⲓⲉ		ⲕⲁⲓⲉ, ⲕⲁⲉⲓⲉ, ⲕⲟⲓ						n. f.			field		
650		ⲣⲙⲛⲧⲕⲟⲓ							n. m.			farmer		
651	ⲕⲟⲙⲙⲉ		ⲕⲟⲙⲏ, ⲕⲟⲙⲓ, ⲕⲙⲙⲉ, ⲕⲏⲙ(ⲙ)ⲉ						n. m.			gum		
652	ⲕⲟⲟⲙϥ		ⲕⲟⲙϥ						n. m.			blight		
653	ⲕⲟⲟⲩ		ⲕⲱⲟⲩ, ⲕⲁⲩ						n. m.			length of time		
654		ⲟⲩⲕⲟⲩⲓ ⲛ ⲕⲟⲟⲩ							adv. (?)			a little while		
655	ⲕⲟⲟϩ		ⲕⲱϩ						n. m. f.			angle, corner; point, tip, prow; piece		
656	ⲕⲟⲥⲕⲥ ⲉⲃⲟⲗ(?)						ⲕⲉⲥⲕⲱⲥ= ⲉⲃⲟⲗ		vb. Tr.			to lay out, extend (ⲙⲙⲟ=; also reflex.); to entwine self (reflex.)		
657	ⲕⲟⲧ		ⲕⲁⲧ						n. m. 			basket		
658	ⲕⲟⲩⲓ		(ⲕⲟⲩ-)						adj.	used before noun (usually with =n) or after (usually without =n). May be cpd. As kou-=n		small, young; a little, few		
659		ⲕⲟⲩⲓ ⲛ ϩⲏⲧ							adj. 			impatient, easily discouraged		
660	ⲕⲟⲩⲓ		(ⲕⲟⲩ-)						adv.	usually =n oukoui		a little		
661		(ⲛ)ⲕⲉⲕⲟⲩⲓ							adv. (?)			yet a little, a little more		
662		ⲙⲛⲛⲥⲁ ⲟⲩⲕⲟⲩⲓ							adv. (?)			after a little while		
663		ϩⲁⲑⲏ ⲛ ⲟⲩⲕⲟⲩⲓ							adv. (?)			a little before		
664		ϣⲁⲧⲛ ⲟⲩⲕⲟⲩⲓ							adv. (?)			almost, more or less		
665		ⲡⲁⲣⲁ ⲕⲉⲕⲟⲩⲓ							adv. (?)			almost, more or less		
666		ⲡⲣⲟⲥ ⲟⲩⲕⲟⲩⲓ							adv. (?)			for a little while		
667		ⲕⲁⲧⲁ ⲕⲉⲕⲟⲩⲓ							adv. (?)			occasionally		
668		ⲛ=ⲕⲁⲧⲁ ⲕⲟⲩⲓ ⲕⲟⲩⲓ							adv. (?)			little by little		
669		ⲣ-ⲕⲟⲩⲓ						ⲟ ⲛ ⲕⲟⲩⲓ	cpd. vb. 2			to become small, few, young		
670		ⲙⲛⲧⲕⲟⲩⲓ							n. f. 			smallness, youth		
671	ⲕⲟⲩⲕⲗⲉ								n. f.			hood, cowl		
672			ⲕⲟⲩⲟⲩⲛ(ⲧ)=, ⲕⲟⲩⲟⲛ=, ⲕⲟⲩⲱⲛ=, ⲕⲉⲛ=				ⲕⲟⲩⲛ(ⲧ)=		n.	suff. Obligatory		bosom, breast ; also sometimes: genitals		
673	ⲕⲟⲩⲡⲣ								n. m.			a plant: lawsonia inermis		
674	ⲕⲟⲩⲣ								n. m.			pivot, hinge		
675	ⲕⲟⲩⲣ								adj.			deaf		
676	ⲕⲟⲩϫⲟⲩ		ⲕⲟⲩⲛϫⲟⲩ, ⲕⲟⲛϫⲟⲩ						n. f.			a type of vessel		
677	ⲕⲣⲓ		ⲕⲗⲓ						n. m.			a fragrant substance		
678	ⲕⲣⲙⲉⲥ								n. m. f.			ash, soot, dust		
679		ⲣ-ⲕⲣⲙⲉⲥ							cpd. vb. 2			to become ashes, dust		
680		ⲣ-ⲁⲧⲕⲣⲙⲉⲥ							vb.			to leave no ash (on burning)		
681	ⲕⲣⲙⲣⲙ								vb. Intr.			to murmur, mutter in anger or vexation (against: ⲉϫⲛ, ⲛⲥⲁ, e, ⲉϩⲟⲩⲛ ⲉ)		
682	ⲕⲣⲙⲣⲙ								n. m.			complaint, murmuring		
683		ⲣⲉϥⲕⲣⲙⲕⲣⲙ							n. / adj.			murmurer		
684	ⲕⲣⲙⲧⲥ		ⲕⲣⲙⲛⲧⲥ						n. m.			smoke, mist; darkness, obscurity		
685	ⲕⲣⲟ		ⲕⲗⲁ		ⲕⲣⲱⲟⲩ				n. m.			shore (of sea, river); limit or margin (of land); hill, dale		
686	ⲕⲣⲟⲙⲣⲙ								vb. Intr.			to become dark (in shade or color)		
687		ⲕⲣⲙⲣⲱⲙ							Q			to be dark		
688	ⲕⲣⲟⲙⲣⲙ								n. m.			darkness		
689	ⲕⲣⲟⲩⲣ								n. m.			frog		
690	ⲕⲣⲟⲩϫ		ⲕⲣⲟϫ						n. 			a cake		
691	ⲕⲣⲟϥ								n. m.			guile, deceit; ambush		
692	ⲕⲣⲟϥ								adj. 			false, guileful		
693		ⲁⲧⲕⲣⲟϥ							adj.			guileless		
694		ⲙⲛⲧⲕⲣⲟϥ							n. f. 			guile		
695		ⲣ-ⲕⲣⲟϥ						ⲟ ⲛ ⲕⲣⲟϥ	cpd. vb. 2			to be guileful, lie in ambush (for: ⲉ)		
696		ⲣⲉϥⲣ-ⲕⲣⲟϥ							n. / adj.			deceiver, traitor		
697		ⲥⲁ ⲛ ⲕⲣⲟϥ							n. m.			deceiver		
698		ϫⲓ-ⲕⲣⲟϥ							vb.			to use guile, lie in wait		
699		ϫⲓ ⲙⲙⲟ= ⲛ ⲕⲣⲟϥ							vb.			to take by guile		
700	ⲕⲣⲱⲛ								n. m.	(rare in Sah.)		fire		
701		ⲕⲱⲣⲙ							n. m.			smoke (?)		
702	ⲕⲥⲟⲩⲣ		ⲝⲟⲩⲣ, ϭⲥⲟⲩⲣ						n. m.			finger-ring; key		
703		ⲥⲁ ⲛ ⲉⲕⲥⲟⲩⲣ							n. m.			key-maker		
704	ⲕⲧⲏⲣ								n. m.			calf		
705	ⲕⲱ		ⲕⲉⲉ=, ⲕⲉ=			ⲕⲁ-	ⲕⲁⲁ=	ⲕⲏ	vb. Tr.			to put, place, set (ⲙⲙⲟ=; with local prep. In plain sense); to appoint, make (ⲙⲙⲟ=; as: ⲛ); to obtain, get (ⲙⲙⲟ=; with reflex. Dat. ⲛⲁ=); to preserve, keep; to allow, permit, grand (ⲙⲙⲟ=; to do: ⲉ + inf. Or circum.; that: je); to bequeathe (ⲙⲙⲟ=; to: ⲛⲁ=); to leave, abandon (ⲙⲙⲟ=); to go to (a place).		
706	ⲕⲱ		ⲕⲉⲉ=, ⲕⲉ=			ⲕⲁ-	ⲕⲁⲁ=		Q			to be stuated, to lie; to be loose, unrestrained		
707		ⲙⲁ ⲛ ⲕⲁ-							n. m.			a place for putting (something)		
708		ⲕⲱ ⲙⲙⲟ= ⲉⲃⲟⲗ							vb. Tr.			(1) to release (to: ⲛⲥⲁ), loosen; (2) to expel, dismiss; (3) to forgive (w. ⲛⲁ= or pers.); (4) to leave, abandon; (5) to omit, leave out;		
709		ⲕⲱ ⲙⲙⲟ= ⲉⲃⲟⲗ							vb. Intr.			to become loose, dissolved; to become desolate, deserted		
710		ⲕⲱ ⲙⲙⲟ= ⲉⲃⲟⲗ							n. m.			forgiveness, remission		
711		ⲙⲁ ⲛ ⲕⲱ ⲉⲃⲟⲗ							n. m.			mercy-seat		
712		ⲣⲉϥⲕⲱ ⲉⲃⲟⲗ							n. / adj.			one who forgives		
713		ⲕⲱ ⲙⲙⲟ= ⲉⲡⲉⲥⲏⲧ							vb.			to lower, let down		
714		ⲕⲱ ⲙⲙⲟ= ⲉⲡⲁϩⲟⲩ							vb.			to leave behind		
715		ⲕⲱ ⲙⲙⲟ= ⲉϩⲟⲩⲛ							vb.			to put or bring in; to bring into port		
716		ϭⲓⲛⲕⲱ ⲉϩⲟⲩⲛ							n. f. 			entrance (to a house)		
717		ⲕⲱ ⲉϩⲣⲁⲓ							vb.			to put down, lower; to publish, expose, set forth		
718		ⲕⲱ ⲉϩⲣⲁⲓ							Q			to exist, be, be extant		
719		ϭⲓⲛⲕⲱ ⲉϩⲣⲁⲓ							n. f. 			nature, fashion, what is established		
720		ⲕⲱ ϩⲓⲃⲟⲗ							vb.			to excommunicate		
721		ⲕⲱ ⲙⲙⲟ= ⲛⲥⲁ							vb.			to renounce, leave behind		
722		ⲕⲱ ⲙⲙⲟ= ⲛⲧⲟⲟⲧ=							vb.			to keep, preserve, hold in esteem (suff. Is reflex.); to entrust to (suff. Is not reflex.)		
723	ⲕⲱⲃ		ⲕⲉⲃ-			ⲕⲃ-	ⲕⲟⲃ=	ⲕⲏⲃ	vb. Tr.			to double, fold, close by folding (ⲙⲙⲟ=)		
724	ⲕⲱⲃ		ⲕⲉⲃ-			ⲕⲃ-	ⲕⲟⲃ=	ⲕⲏⲃ	vb. Intr.			to double, become twice the amount		
725	ⲕⲱⲃ		ⲕⲉⲃ-			ⲕⲃ-	ⲕⲟⲃ=		n. m.			double, double amount; repetition		
726		ⲕⲃⲃⲉ							n. 			fold, crease		
727		ⲕⲟⲟⲃⲉϥ	ⲕⲱⲃⲉϥ						n. m.			doubling		
728	ⲕⲱⲃϩ		ⲕⲟⲟⲃϩ						n.			sinew, cord		
729		ⲃⲗ-ⲕⲱⲃϩ							vb.			to cut sinews		
730		ⲣⲉϥϣⲉⲧ-ⲕⲱⲃϩ							n. / adj.			hamstringer		
731	ⲕⲱⲕ		ⲕⲁⲕ=, ⲕⲁⲁⲕ=			ⲕⲉⲕ-	ⲕⲟⲕ=	ⲕⲏⲕ (+/- ⲉⲃⲟⲗ)	vb. Tr.			to peel, strip of, divest (ⲙⲙⲟ=)		
732	ⲕⲱⲕ		ⲕⲁⲕ=, ⲕⲁⲁⲕ=			ⲕⲉⲕ-	ⲕⲟⲕ=	ⲕⲏⲕ (+/- ⲉⲃⲟⲗ)	vb. Intr.			to peel, become bare		
733	ⲕⲱⲕ		ⲕⲁⲕ=, ⲕⲁⲁⲕ=			ⲕⲉⲕ-	ⲕⲟⲕ=		n. m.			barrenness, nakedness		
734		ⲕⲱⲕ ⲙⲙⲟ= ⲁϩⲏⲩ							vb.			to strip, make naked (obj. removed: ⲛ)		
735		ⲕⲏⲕ ⲁϩⲏⲩ							Q			to be stripped, naked		
736		ⲕⲏⲕ ⲁϩⲏⲩ							n. m.			nakedness		
737		ⲕⲱ ⲙⲙⲟ= ⲕⲁϩⲏⲩ	ⲕⲁⲁ= ⲕⲁϩⲏⲩ						vb.			to strip, make naked		
738		ⲕⲟⲩⲕⲉ							n. f.			rind		
739	ⲕⲱⲗⲙ								n. m.			corner of eye		
740	ⲕⲱⲗⲡ					ⲕⲉⲗⲡ-	ⲕⲟⲗⲡ=	ⲕⲟⲗⲡ	vb. Tr.			to steal (ⲙⲙⲟ=)		
741	ⲕⲱⲗⲡ					ⲕⲉⲗⲡ-	ⲕⲟⲗⲡ=		n. m.			theft, stole object		
742		ⲁⲧⲕⲱⲗⲡ							adj.			inviolable		
743		ⲕⲟⲗⲡⲥ							n. f.			theft		
744	ⲕⲱⲗϩ					ⲕⲗϩ-	ⲕⲟⲗϩ=	ⲕⲟⲗϩ	vb. Tr.			to strike (ⲙⲙⲟ=), clap; to hammer in, fix; to knock (at door: ⲉ, ⲉϩⲟⲩⲛ ⲉ)		
745	ⲕⲱⲗϩ					ⲕⲗϩ-	ⲕⲟⲗϩ=		n. m.			blow, stroke		
746		ⲕⲗϩⲉ							n. f.			blow		
747	ⲕⲱⲗϫ		ϭⲗϫ-			ⲕⲗϫ-	ⲕⲟⲗϫ=	ⲕⲟⲗϫ (ϭⲟⲗϫ)	vb. Tr.			to bend, twist (ⲙⲙⲟ=)		
748	ⲕⲱⲗϫ		ϭⲗϫ-			ⲕⲗϫ-	ⲕⲟⲗϫ=		reflex.			to bow		
749	ⲕⲱⲗϫ		ϭⲗϫ-			ⲕⲗϫ-	ⲕⲟⲗϫ=	ⲕⲟⲗϫ (ϭⲟⲗϫ)	vb. Intr.			to bend, become bent		
750	ⲕⲱⲗϫ		ϭⲗϫ-			ⲕⲗϫ-	ⲕⲟⲗϫ=		n. m.			perversion, depression		
751		ⲕⲗϫ-ⲡⲁⲧ	ⲕⲗϫ-ⲁⲡⲉ						vb.			to bow		
752		ⲕⲁⲗⲁϫⲧⲱⲣⲧ							n. f.			part of a house		
753		ⲕⲗϫⲉ							n. f.			corner		
754	ⲕⲱⲙϣ					ⲕⲙϣ-	ⲕⲟⲙϣ=		vb. Tr.			to mock (ⲛⲥⲁ)		
755	ⲕⲱⲙϣ					ⲕⲙϣ-	ⲕⲟⲙϣ=		n. m.			mockery, contempt		
756		ⲙⲛⲧⲣⲉϥⲕⲱⲙϣ							n. f. 			mockery, contempt		
757	ⲕⲱⲛⲥ		ⲕⲱⲱⲛⲥ			ⲕⲉⲛⲥ-	ⲕⲟⲛⲥ=	ⲕⲟⲛⲥ	vb. Tr.			to pierce, slay		
758	ⲕⲱⲛⲥ		ⲕⲱⲱⲛⲥ			ⲕⲉⲛⲥ-	ⲕⲟⲛⲥ=		n. m.			slaughter		
759		ⲣⲉϥⲕⲱⲛⲥ							n. / adj.			slayer		
760	ⲕⲱⲡ							ⲕⲏⲡ	vb. Tr.	Rare in Sah.; use hwp		to hide (ⲙⲙⲟ=)		
761	ⲕⲱⲡ							ⲕⲏⲡ	vb. Intr.			to be hidden		
762	ⲕⲱⲡ								n. m.			concealment		
763	ⲕⲱⲣ								n. 			measure of money		
764	ⲕⲱⲣϣ		ϭⲱⲣϣ			ⲕⲉⲣϣ-	ⲕⲟⲣϣ=		vb. Tr.			to request, persuade, cajole (e )		
765	ⲕⲱⲣϣ		ϭⲱⲣϣ			ⲕⲉⲣϣ-	ⲕⲟⲣϣ=		n. m.			entreaty, persuasion		
766		ⲣⲉϥⲕⲱⲣϣ							n. / adj.			flatterer		
767		ⲙⲛⲧⲣⲉϥⲕⲱⲣϣ							n. f. 			flattery		
768		ⲕⲟⲣϣϥ							n. m.			flatterer		
769	ⲕⲱⲣϥ		ϭⲱⲣϥ					ⲕⲟⲣϥ	vb. Tr.			to bring to naught, destroy, cancel (ⲙⲙⲟ=)		
770	ⲕⲱⲧ					ⲕⲉⲧ-	ⲕⲟⲧ=	ⲕⲏⲧ	vb. tr.			to build, form (ⲙⲙⲟ=); to edify, encourage (ⲙⲙⲟ=)		
771	ⲕⲱⲧ					ⲕⲉⲧ-	ⲕⲟⲧ=	ⲕⲏⲧ	vb. Intr.			to become edified		
772	ⲕⲱⲧ								n. m.			act of building; a building; rule, precept		
773		ⲙⲁ ⲛ ⲕⲱⲧ							n. m.			workshop		
774		ⲣⲉϥⲕⲱⲧ							n. / adj.			builder		
775		ϫⲓ-ⲕⲱⲧ							vb.			to receive edification		
776		ⲉⲕⲱⲧ			ⲉⲕⲟⲧⲉ, ⲉⲕⲁⲧⲉ				n. m.			builder, mason; potter		
777		ⲥⲉⲕⲱⲧ	ⲥⲓⲕⲱⲧ						n. f.			potter's workshop		
778	ⲕⲱⲧ					ⲕⲉⲧ-	ⲕⲟⲧ=	ⲕⲏⲧ	vb. Tr.			to turn, direct (ⲙⲙⲟ=); + ⲉⲃⲟⲗ - to turn sthg. Away; + ⲉⲡⲁϩⲟⲩ - to turn sthg. Back; + ⲉϩⲟⲩⲛ ⲉ - to convert to, bring around to.		
779	ⲕⲱⲧ					ⲕⲉⲧ-	ⲕⲟⲧ=	ⲕⲏⲧ	vb.	reflex.		to turn (self) around, to return; to repeat, do again (+ e + Inf. Or + coord. Vb.); + ⲉⲃⲟⲗ - to turn away; + ⲉⲡⲁϩⲟⲩ - to turn back, return; + ⲉϩⲟⲩⲛ ⲉ - to return to; + ⲉϩⲣⲁⲓ e - to return to		
780	ⲕⲱⲧⲉ					ⲕⲉⲧ-	ⲕⲟⲧ=	ⲕⲏⲧ	vb. Intr.			to turn, rotate, revolve; to circulate, go or move in a cyclical way (e.g. watch, visit); to visit (e ); to go around, form circle		
781		ⲕⲱⲧⲉ ⲉϫⲛ							vb.			to circulate among		
782		ⲕⲱⲧⲉ ⲙⲛ							vb.			to consort with, stick with		
783		ⲕⲱⲧⲉ ⲛⲥⲁ							vb.			to seek, go about seeking		
784		ⲕⲱⲧⲉ ⲉⲃⲟⲗ							vb.			to go away; to turn, return		
785		ⲕⲱⲧⲉ ⲉϩⲟⲩⲛ							vb.			to turn or incline inward		
786		ⲕⲱⲧⲉ ⲉϩⲣⲁⲓ							vb.			to turn around		
787		ⲕⲱⲧⲉ ⲉ							vb.			to surround		
788		ⲕⲱⲧⲉ							n. m.			(1) turning, circuit; (2) surroundings, environment; (3) seeking, inquiring		
789		ⲙ=ϩⲙ=ⲉ ⲡⲕⲱⲧⲉ							adv.			round about		
790		ⲙ=ϩⲙ ⲡⲕⲱⲧⲉ ⲛ							prep.			around, in the neighborhood of; about, concerning		
791		ⲙ=ϩⲙ ⲡ(=)ⲡⲕⲱⲧⲉ							prep.			around, in the neighborhood of; about, concerning		
792		ⲕⲟⲧ							n. m.			circular motion, turn, visit		
793		ⲣ-ⲕⲟⲧ							vb.			to make a turn, make a visit		
794		ϯ-ⲕⲟⲧ							vb.			to make a turn, make a visit		
795		ⲕⲟⲧ							n. m.			wheel		
796		ⲕⲟⲧⲥ							n. f.			circuit, turning; a turn, bend; knot, twist; crookedness, guile		
797		ⲉⲓⲣⲉ ⲛ ⲟⲩⲕⲟⲧⲥ, ⲣ-ⲕⲟⲧⲥ							vb.			to make a turn, to circumvent		
798		ϯ-ⲕⲟⲧⲥ							vb.			to make a circuit, circulate		
799		ϫⲓ-ⲕⲟⲧⲥ							vb.			to be crooked		
800		ⲥⲁ ⲛ ⲕⲟⲧⲥ							n. m.			a guileful person		
801		ⲙⲛⲧⲥⲁ ⲛ ⲕⲟⲧⲥ							n. f. 			guile, dishonesty		
802		ⲕⲧⲟ  ⲕⲧⲉ-  ⲕⲧⲟ=						ⲕⲧⲏⲩ (ⲕⲧⲟⲉⲓⲧ, ⲕⲧⲁⲉⲓⲧ)	vb. Tr.	this verb has the same range of meanings as kwte above, including reflex. And intr. Uses		to cause to turn (ⲙⲙⲟ=; to: ⲉ)		
803		ⲕⲧⲟ  ⲕⲧⲉ-  ⲕⲧⲟ=							n. m.			turning, return		
804		ⲁⲧⲕⲧⲟ=							adj.			irrevocable		
805		ⲙⲛⲧⲣⲉϥⲕⲧⲟ							n. f. 			good conduct		
806	ⲕⲱⲧϥ					ⲕⲉⲧϥ-	ⲕⲟⲧϥ=	ⲕⲟⲧϥ	vb. Tr.			to gather (ⲙⲙⲟ=)		
807	ⲕⲱⲱⲃⲉ	ⲕⲱⲱϥⲉ  ⲕⲁⲁⲃⲉ-				ⲕⲉⲉⲃⲉ-	ⲕⲟⲟⲃ=		vb. Tr.			to force, compel, seize by force (ⲙⲙⲟ=)		
808		ⲕⲃⲁ							n. 			compulstion, forced labor		
809		ⲣ-ⲕⲃⲁ							vb.			to do forced labor		
810	ⲕⲱⲱⲣⲉ		ⲕⲉⲣⲉ-			ⲕⲉⲉⲣⲉ-	ⲕⲟⲟⲣⲉ=		vb. Tr.			to cut down, chop down (ⲙⲙⲟ=)		
811	ⲕⲱⲱⲣⲉ		ⲕⲉⲣⲉ-			ⲕⲉⲉⲣⲉ-	ⲕⲟⲟⲣⲉ=		vb. Intr.			to be cut down		
812	ⲕⲱⲱⲥ		ⲕⲱⲱⲥⲉ, ⲕⲱⲛⲥ, ⲕⲟⲟⲛⲥ=, ⲕⲟⲟⲥⲉ=				ⲕⲟⲟⲥ=	ⲕⲏⲥ	vb. Tr.			to prepare (a corpse: ⲙⲙⲟ=) for burial		
813	ⲕⲱⲱⲥ		ⲕⲱⲱⲥⲉ, ⲕⲱⲛⲥ, ⲕⲟⲟⲛⲥ=, ⲕⲟⲟⲥⲉ=				ⲕⲟⲟⲥ=		n. m.			burial, funeral; corpse		
814		ⲣⲉϥⲛ-ⲕⲱⲱⲥ ⲉϩⲟⲩⲛ							n. / adj.			raiser of the dead, necromancer		
815		ⲣ-ⲕⲱⲱⲥ							cpd. vb. 2			to become a corpse, die		
816		ⲕⲁⲓⲥⲉ	ⲕⲉⲓⲥⲉ, ⲕⲉⲥⲉ						n. f.			(1) preparation for burial; (2) grave-clothes, shroud; (3) corpse		
817		ⲥⲙⲟⲧ ⲛ ⲕⲁⲓⲥⲉ							n. m.			effigy		
818	ⲕⲱⲱϣⲉ							ⲕⲟⲟϣⲉ	vb. Tr.	Rare in Sah.		to break, split (ⲙⲙⲟ=)		
819	ⲕⲱⲱϣⲉ							ⲕⲟⲟϣⲉ	vb. Intr.			to become split, broken		
820	ⲕⲱϩ							ⲕⲏϩ	vb. Intr.			to become jealous, envious (of: ⲉ); to become zealous, eager; to emulate, try to equal (e )		
821	ⲕⲱϩ								n. m.			envy, zeal		
822		ⲣⲉϥⲕⲱϩ							n. / adj.			zealot; rival, imitator		
823		ϯ-ⲕⲱϩ							vb.			to cause (ⲛⲁ=) to envy etc. (e ).		
824		ⲕⲟⲓϩⲉ							n. f.			rival woman		
825	(ⲕⲱϩ)					ⲕⲉϩ-	ⲕⲁϩ=	ⲕⲏϩ	vb. Tr.			to level, smooth out (ⲙⲙⲟ=); to tame, accustom (ⲙⲙⲟ=; to: ⲉ)		
826	ⲕⲱϩⲧ								n. m.			fire		
827		ⲣ-ⲕⲱϩⲧ						ⲟ ⲛ ⲕⲱϩⲧ	cpd. vb. 2			to become fire		
828		ϯ-ⲕⲱϩⲧ							vb.			to set fire (to: ⲉ)		
829	ⲗⲁ								n. m.			envy, slander		
830		ⲙⲛⲧⲗⲁ							n. f. 			slander		
831		ϩⲓ-ⲗⲁ							vb.			to slander (e )		
832		ϩⲓ-ⲗⲁ							n. m.			slander		
833		ⲣⲉϥϩⲓ-ⲗⲁ							n. / adj.			slanderer		
834		ⲙⲛⲧⲣⲉϥϩⲓ-ⲗⲁ							n. f. 			slander		
835		ⲗⲁⲃ-ⲗⲁ							adj. (?)			eager for slander		
836	ⲗⲁⲁⲩ		ⲗⲁⲁⲩⲉ, ⲗⲁⲩⲉ, ⲗⲁⲟⲩⲉ						indef. Pron.	(§16.3) may take article as n.		any, anyone; something		
837		ⲟⲩⲗⲁⲁⲩ ϣⲏⲙ							n.			a little something		
838		ⲕⲉⲗⲁⲁⲩ							prep.			any other		
839		ⲗⲁⲁⲩ ⲛⲓⲙ							n.			everyone, everything		
840	ⲗⲁⲁⲩ		ⲗⲁⲁⲩⲉ, ⲗⲁⲩⲉ, ⲗⲁⲟⲩⲉ						adj.	usu. Bef. N. w. =n)		any		
841		ⲗⲁⲁⲩ ⲙⲙⲱⲧⲛ							n.			any of you		
842	ⲗⲁⲁⲩ		ⲗⲁⲁⲩⲉ, ⲗⲁⲩⲉ, ⲗⲁⲟⲩⲉ						part.	Neg. context		none, no one, nothing		
843		ⲟⲩⲗⲁⲁⲩ, ϩⲉⲛⲗⲁⲁⲩ							pred.	even when neg. is not present		nothing, no one		
844		ⲁⲧⲗⲁⲁⲩ ⲛ							prep.			lacking, without		
845		(ⲛ) ⲗⲁⲁⲩ							adv.			(not) at all		
846	ⲗⲁⲃⲟⲓ		ⲗⲁⲃⲁⲓ						n. f.			lioness; she-bear		
847	ⲗⲁⲓⲛ		ⲗⲁⲉⲓⲛ, ⲗⲉⲉⲓⲛ						n. m.			steel		
848	ⲗⲁⲕⲙ		ⲗⲁⲕⲙⲉ						n. f.			piece, fragment		
849		(ⲛ) ⲗⲁⲕⲙ ⲗⲁⲕⲙ							adv.			into pieces		
850		ⲣ-ⲗⲁⲕⲙ ⲗⲁⲕⲙ							vb.			to break or tear into pieces		
851	ⲗⲁⲕⲛⲧ		ⲗⲁϭⲛⲧ						n. f.			cauldron		
852	ⲗⲁⲕⲟⲟⲧⲉ		ⲗⲁⲕⲟⲧⲉ, ⲗⲁⲁⲕⲟⲧⲉ						n. f.			a liquid measure (wine)		
853	ⲗⲁⲕϩ								n. m.			corner, edge, extremity, top		
854	ⲗⲁⲗⲉ		ⲗⲟⲟⲗⲉ  ⲗⲁⲗⲱⲱ=				ⲗⲁⲗⲱ=	ⲗⲁⲗⲱⲟⲩ (ⲗⲁⲗⲱ, ⲗⲁⲗⲏⲩ)	vb. Tr.			to apply (paint, overlay: =mm/; to: ⲉ); to paint, smear		
855	ⲗⲁⲙϫⲁⲧⲡ		ⲗⲁϫⲁⲧⲡ, ⲗⲁⲙϫⲁⲧ, ⲗⲁⲙϫⲉⲧ						n. m.			tar, pitch		
856	ⲗⲁⲥ								n. m.	Language: also ⲁⲥⲡⲉ ⲛ ⲗⲁⲥ		tongue; language; any tongue-shaped object		
857		ⲗⲁⲥ ⲥⲛⲁⲩ							adj.			deceitful		
858		ⲙⲛⲧⲗⲁⲥ ⲥⲛⲁⲩ							n. f. 			deceitful		
859	ⲗⲁⲥ								n. m.			tow, flax		
860	ⲗⲁⲧⲃⲥ		ⲗⲁⲧⲃⲉⲥ						n. f.			a patch		
861		ϩⲓ-ⲗⲁⲧⲃⲥ ⲉ							vb.			to put a patch on		
862	ⲗⲁⲩⲟ		ⲗⲁⲃⲱ						n. m. f.			sail; curtain, awning		
863		ϭⲓⲥ-ⲗⲁⲩⲟ							n. f.			half-sail		
864	ⲗⲁϣⲁⲛⲉ				ⲗⲁϣⲛⲏⲩ, ⲗⲁϣⲛⲓⲟⲩ				n. m.			village magistrate		
865	ⲗⲁϩⲏ								n. f.			a liquid measure		
866	ⲗⲁϭⲉ								vb. Tr.			to remove, cause to cease (e )		
867	ⲗⲉⲗⲟⲩ				ⲗⲉⲗⲁⲩⲉ, ⲗⲁⲩⲉ, ⲗⲁⲁⲩ				n. m. f.			young man or woman		
868	ⲗⲉⲙⲏⲏϣⲉ								n. m.			warrior, champion		
869	ⲗⲉⲛⲧⲏⲛ		ⲗⲉⲛⲑⲏⲛ, ⲗⲁⲛⲑⲏⲛ						n. m.			saw		
870	ⲗⲉⲟⲛ								n. 			earring, bracelet		
871	ⲗⲉ'		ⲗⲓ'						n. m.			person afflicted with eye-disease		
872	ⲗⲉⲡⲥⲉ		ⲗⲉ'ⲉ, ⲗⲓⲡⲥⲉ						n. m.			fragment		
873	ⲗⲉϥⲗⲓϥⲉ								n. f.			crumb, fragment		
874	ⲗⲉϩ								n. m.			care, anxiety		
875	ⲗⲉϩⲗⲱϩ								Q			to be high, tall		
876		ⲗⲁϩⲗⲉϩ							n. m.			haughtiness		
877	ⲗⲓⲃⲉ						ⲗⲉⲃⲧ=	ⲗⲟⲃⲉ (ⲗⲁⲃ-)	vb. Intr.			to be mad, rage (at: ⲉhoun e, ⲛⲥⲁ; from: ⲛⲧⲛ, ha, ϩⲛ, hitⲛ)		
878	ⲗⲓⲃⲉ						ⲗⲉⲃⲧ=	ⲗⲟⲃⲉ (ⲗⲁⲃ-)	vb. Tr.	rare		to make mad		
879		ⲗⲁⲃ-ⲗⲁ							adj. (?)			see ⲗⲁ		
880		ⲗⲁⲃ-ⲙⲁϩⲧ							adj.			gluttonous		
881		ⲗⲁⲃ-ⲥϩⲓⲙⲉ							adj.			lecherous		
882		ⲗⲁⲃ-ϩⲏ							adj.			greedy		
883		ⲙⲛⲧⲗⲁⲃ-ϩⲏ							n. f. 			greed		
884		ⲣ-ⲗⲁⲃ-ϩⲏ							cpd. vb. 2			to become hungry, greedy		
885							ⲗⲓⲕⲧ=		n. m.			veil, covering		
886		ⲣ-ⲗⲓⲕⲧ=							vb.			to veil, cover		
887		ⲛ ⲗⲓⲕⲧ=							prep.			covering		
