Coptic	Alt. Spellings	Fem.	Pl.	Prenom.	Prepronom.	Qual.	Gramm.	Notes	English
ⲡ.ⲁⲛⲧⲏⲗⲙ	ⲁⲛⲧⲉⲗⲙ						n. m.		skull
ⲡ.ⲁⲛϩ	ⲟⲛϩ						n. m.		courtyard
ⲁⲡⲁ									Apa, masc. title of respect or reverance (saints, martyrs, respected monks, etc.)
ⲁⲡⲁⲥ							adj.	syn. Of ac q.v.	old
ⲁⲡⲉ			ⲁⲡⲏⲩⲉ				n. f. 		head (lit. and fig.); total sum (of money), capital
ⲡ.ⲁⲡⲉ							n. m.		chief, village head
ⲙⲛⲧⲁⲡⲉ									headship
ⲁⲧⲁⲡⲉ									headless
ⲣ-ⲁⲡⲉ									to become head, leader (of: ⲉ)
ϥⲓ-ⲧⲁⲡⲉ									to behead
ⲡ.ⲁⲡⲟⲧ			ⲁⲡⲏⲧ				n. m.		cup
ⲥⲁ ⲛ ⲁⲡⲟⲧ									cup-maker, cup-seller
ⲁⲡⲣⲏⲧⲉ							n. f. 		period of time
ⲛ ⲟⲩⲕⲟⲩⲓ ⲛ ⲁⲡⲣⲏⲧⲉ									for a little while
ⲛ ⲟⲩⲛⲟϭ ⲛ ⲁⲡⲣⲏⲧⲉ									for a long time
ⲣ-ⲟⲩⲛⲟϭ ⲛ ⲁⲡⲣⲏⲧⲉ									to spend a long time
ⲁⲡⲥ	ⲏⲡⲥ, ⲉⲡⲥ						n. f. 		a number (of), several
ⲡ.ⲁⲣⲏⲃ	ⲉⲣⲏⲃ, ⲣⲏⲃ						n. m.		pledge, deposit, guarantee
ⲁⲣⲏⲩ	ϩⲁⲣⲏⲩ						adv.		perhaps
ⲁⲣⲏϫ-				ⲁⲣⲏϫ-			n.	suff. Required, as in aryj=f =m pkah - the end of the earth; 3rd pers. Pl. sometimes -nou	end, limit
ⲁⲧⲁⲣⲏϫ-									boundless
ⲡ.ⲁⲣⲓⲕⲉ							n. m.		fault, blame
ⲁⲧⲁⲣⲓⲕⲉ									blameless
ϭⲛ-ⲁⲣⲓⲕⲉ									to find fault (with: ⲉ), to blame ('e)
ⲣⲉϥϭⲛ-ⲁⲣⲓⲕⲉ									fault-finder
ⲙⲛⲧⲣⲉϥϭⲛ-ⲁⲣⲓⲕⲉ									criticism
ⲁⲣⲓⲙ							n.		name of an edible plant
ⲁⲣⲟⲟⲩⲉ	ⲁⲣⲱⲟⲩ						n. pl.		burrs, thistles
ⲥⲣ-ⲁⲣⲟⲟⲩⲉ									burrs, thistles
ⲁⲣⲟϣ									to become cold
ⲡ.ⲁⲣⲟϣ							n. m.		cold, chill
ⲁⲣϣⲁⲛ							n. 		name of a skin disease
ⲁⲣϣⲓⲛ							n. m. 		lentils
ⲁⲥ	ⲁⲁⲥ						adj.		old (usu. Not of people)
ⲏⲣⲡ ⲁⲥ	ⲉⲣⲡ-ⲁⲥ								old wine
ⲙⲛⲧⲁⲥ									oldness
ⲣ-ⲁⲥ									to become old
ⲁⲥⲁⲓ						ⲁⲥⲱⲟⲩ, ⲁⲥⲉⲓⲱⲟⲩ	vb. Intr.		to become light, slight, casual; to be swift
ⲡ.ⲁⲥⲁⲓ							n. m.		lightness, hastiness, alleviation
ϩⲛ ⲟⲩⲁⲥⲁⲓ									easily, casually
ⲡ.ⲁⲥⲏⲣ							n. m.		one's belongings
ⲡ.ⲁⲥⲓⲕ	ⲥⲓⲕ						n. m.		an illness, related to fever, chills
ⲧ.ⲁⲥⲟⲩ							n. f.		price, value
ϯ-ⲁⲥⲟⲩ									to pay
ⲣ-ⲁⲥⲟⲩ ϩⲁ									to set a price on
ⲧ.ⲁⲥⲡⲉ							n. f.		language, speech
ⲁⲥⲣⲉ ⲛ ⲗⲁⲥ									language, speech
ⲁⲧ-				ⲁⲧ-					prefix for the formation of negative adj.
ⲁⲧⲟ	ⲁⲧⲁ						n. 		a lot, multitude; usu. With indef. Art.
ⲁⲧⲟ ⲛ ⲥⲙⲟⲧ	ⲁⲧⲉ-ⲥⲙⲟⲧ						adj.		phrase: of various or many sorts
