Coptic	Alt. Spellings	Fem.	Pl.	Prenom.	Prepronom.	Qual.	Gramm.	Notes	English
ⲗⲁⲥ ⲥⲛⲁⲩ									deceitful
ⲙⲛⲧⲗⲁⲥ ⲥⲛⲁⲩ									deceitful
ⲡ.ⲗⲁⲥ							n. m.		tow, flax
ⲧ.ⲗⲁⲧⲃⲥ	ⲗⲁⲧⲃⲉⲥ						n. f.		a patch
ϩⲓ-ⲗⲁⲧⲃⲥ ⲉ									to put a patch on
ⲗⲁⲩⲟ	ⲗⲁⲃⲱ						n. m. f.		sail; curtain, awning
ⲧ.ϭⲓⲥ-ⲗⲁⲩⲟ							n. f.		half-sail
ⲡ.ⲗⲁϣⲁⲛⲉ			ⲗⲁϣⲛⲏⲩ, ⲗⲁϣⲛⲓⲟⲩ				n. m.		village magistrate
ⲧ.ⲗⲁϩⲏ							n. f.		a liquid measure
ⲗⲁϭⲉ							vb. Tr.		to remove, cause to cease (e )
ⲗⲉⲗⲟⲩ			ⲗⲉⲗⲁⲩⲉ, ⲗⲁⲩⲉ, ⲗⲁⲁⲩ				n. m. f.		young man or woman
ⲡ.ⲗⲉⲙⲏⲏϣⲉ							n. m.		warrior, champion
ⲡ.ⲗⲉⲛⲧⲏⲛ	ⲗⲉⲛⲑⲏⲛ, ⲗⲁⲛⲑⲏⲛ						n. m.		saw
ⲗⲉⲟⲛ							n. 		earring, bracelet
ⲡ.ⲗⲉ'	ⲗⲓ'						n. m.		person afflicted with eye-disease
ⲡ.ⲗⲉⲡⲥⲉ	ⲗⲉ'ⲉ, ⲗⲓⲡⲥⲉ						n. m.		fragment
ⲧ.ⲗⲉϥⲗⲓϥⲉ							n. f.		crumb, fragment
ⲡ.ⲗⲉϩ							n. m.		care, anxiety
ⲗⲉϩⲗⲱϩ							Q		to be high, tall
ⲡ.ⲗⲁϩⲗⲉϩ							n. m.		haughtiness
ⲗⲓⲃⲉ					ⲗⲉⲃⲧ=	ⲗⲟⲃⲉ (ⲗⲁⲃ-)	vb. Intr.		to be mad, rage (at: ⲉhoun e, ⲛⲥⲁ; from: ⲛⲧⲛ, ha, ϩⲛ, hitⲛ)
ⲗⲓⲃⲉ					ⲗⲉⲃⲧ=	ⲗⲟⲃⲉ (ⲗⲁⲃ-)	vb. Tr.	rare	to make mad
ⲗⲁⲃ-ⲗⲁ									see la
ⲗⲁⲃ-ⲙⲁϩⲧ									gluttonous
ⲗⲁⲃ-ⲥϩⲓⲙⲉ									lecherous
ⲗⲁⲃ-ϩⲏ									greedy
ⲙⲛⲧⲗⲁⲃ-ϩⲏ									greed
ⲣ-ⲗⲁⲃ-ϩⲏ									to become hungry, greedy
ⲣ-ⲗⲓⲕⲧ_									to veil, cover
ⲛ ⲗⲓⲕⲧ_							prep.		covering
ⲧ.ⲗⲓⲗⲟⲟϩⲉ	ⲗⲉⲗⲱϩⲉ, ⲉⲗⲟⲟϩⲉ, ⲗⲟϩⲉ						n. f.		gum resin (or tree)
ⲡ.ⲗⲓⲙⲛⲏ							n. m.		portrait, image
ⲗⲗⲏⲃ	ⲉⲗⲗⲏⲃ, ⲗⲗⲏϥ						n. 		jesting, buffoonery
ⲗⲟ							vb. Intr.	(Imptv. Alok> f. alo> pl. alwt=n). A-pefhyt lo =mmof - he fainted.	(1) to cease, stop, come to an end, be terminated; + Circum.: to stop doing, no longer do. (2) to leave, quit, depart (from: ⲙⲙⲟ/, ha, habol ⲛ, hi, ϩⲛ, ⲉⲃⲟⲗ ϩⲛ, hirⲛ, hijⲛ); sometimes + untranslatable =mmau.
ⲗⲟⲓϩⲉ							n. m. (f.)		mud, filth
ⲧ.ⲗⲟⲓϭⲉ							n. f.		cause, excuse, reason
ⲁⲧⲗⲟⲓϭⲉ									without cause
ϯ-ⲗⲟⲓϭⲉ ⲛⲁ_									to provide excuse or occasion to
ϭⲛ-ⲗⲟⲓϭⲉ									to find excuse
ϭⲡ-ⲗⲟⲓϭⲉ									to find excuse
ⲡ.ⲗⲟⲕ	ⲗⲟϭ						n. m.		cup, bowl; also as measure
ϣⲡ-ⲗⲟⲕ									cup, bowl; also as measure
ⲗⲟⲕⲗⲕ					ⲗⲉⲕⲗⲱⲕ=	ⲗⲉⲕⲗⲱⲕ	vb. Intr.		to become soft
ⲗⲟⲕⲗⲕ					ⲗⲉⲕⲗⲱⲕ=	ⲗⲉⲕⲗⲱⲕ	vb. Intr.	rare	to make soft, smooth (ⲙⲙⲟ/)
ⲡ.ⲗⲟⲕⲗⲕ					ⲗⲉⲕⲗⲱⲕ=		n. m.		softness
ⲗⲁⲕⲗⲁⲕ							n.		a kind of confection
ⲗⲟⲟⲙⲉ	ⲗⲟⲩⲙⲉ, ⲙⲟⲟⲗⲉ						n. f. m.		bait
ⲡ.ⲗⲟⲟⲩ	ⲗⲟⲟⲩⲉ, ⲗⲱⲟⲩ, ⲗⲁⲩ						n. m.		curl; fringe, hem; cluster
ⲗⲟⲟϥⲉ	ⲗⲟⲟⲃⲉ, ⲗⲟⲃⲉ						Q		to be decayed, about to collapse
ⲡ.ⲗⲟⲩⲗⲁⲓ							n. m.		shout
ⲱϣ_ⲉϣ-_ⲛⲉϫ-_ⲧⲱⲕ ⲗⲟⲩⲗⲁⲓ ⲉⲃⲟⲗ									to shout
ⲗⲟϥⲗϥ	(ⲗⲟϥⲗⲉϥ, ⲗⲟⲃⲗⲉϥ)				ⲗⲉϥⲗⲱϥ=	ⲗⲉϥⲗⲱϥ, ⲗⲉϥⲗⲟϥⲧ (+/- ⲉⲃⲟⲗ)	vb. Intr.		to rot, perish by decay or corruption
ⲗⲟϥⲗϥ	(ⲗⲟϥⲗⲉϥ, ⲗⲟⲃⲗⲉϥ)				ⲗⲉϥⲗⲱϥ=	ⲗⲉϥⲗⲱϥ, ⲗⲉϥⲗⲟϥⲧ (+/- ⲉⲃⲟⲗ)	vb. Tr.		to destroy, cause to rot (ⲙⲙⲟ/)
ⲡ.ⲗⲟϥⲗϥ	(ⲗⲟϥⲗⲉϥ, ⲗⲟⲃⲗⲉϥ)				ⲗⲉϥⲗⲱϥ=		n. m.		decay, rot
ⲗⲟϫⲗϫ							vb. Tr.		to rub, crush, oppress (ⲙⲙⲟ/)
ⲗⲟϫⲗϫ	ⲗⲟϭⲗⲉϫ  ⲗⲉϭⲗⲱϭ=				ⲗⲉϫⲗⲱϫ=	ⲗⲉϫⲗⲱϫ (ⲗⲉϭⲗⲱϭ)	vb. Intr.		to languish, be sickly
ⲗⲟϫⲗϫ	ⲗⲟϭⲗⲉϫ  ⲗⲉϭⲗⲱϭ=				ⲗⲉϫⲗⲱϫ=	ⲗⲉϫⲗⲱϫ (ⲗⲉϭⲗⲱϭ)	vb. Tr.		to make sick (ⲙⲙⲟ/)
ⲡ.ⲗⲟϫⲗϫ	ⲗⲟϭⲗⲉϫ  ⲗⲉϭⲗⲱϭ=				ⲗⲉϫⲗⲱϫ=		n. m.		sickness
ⲗⲟϭ	ⲗⲁϭ						n. 		
ⲣ-ⲗⲟϭ ⲉ									to importune
ⲙⲛⲧⲗⲟϭ									persistence
ⲡ.ⲗⲟϭⲗⲉϭ							n. m.		girder, frame, joint
ⲗⲱⲃϣ						ⲗⲟⲃϣ	vb. Intr.		to glow red-hot
ⲗⲱⲃϣ						ⲗⲟⲃϣ	vb. Tr.		to heat red-hot (ⲙⲙⲟ/)
ⲡ.ⲗⲱⲃϣ							n. m.		glow
ⲡ.ⲗⲱⲃϣ							n. m.		crown, battlement
ⲗⲱⲃϣ							vb. Tr.		to crown, adorn
ⲗⲱⲕ						ⲗⲏⲕ	vb. Intr. 		to become soft, be fresh
ⲗⲱⲕⲥ	ⲗⲱϭⲥ, ⲗⲱⲝ, ⲗⲟⲩⲝ			ⲗⲝ-	ⲗⲟⲕⲥ=		vb. Tr.		to bite, stab, pierce (ⲙⲙⲟ/); + ⲛⲥⲁ: to bite or snap at
ⲡ.ⲗⲱⲕⲥ	ⲗⲱϭⲥ, ⲗⲱⲝ, ⲗⲟⲩⲝ			ⲗⲝ-	ⲗⲟⲕⲥ=		n. m.		bite
ⲣⲉϥⲗⲱⲕⲥ									biter, biting
ϣⲥ-ⲛ-ⲗⲱⲕⲥ									piercing blow
ⲗⲱⲕϣ						ⲗⲟⲕϣ	vb. Intr.		to be weak, ineffectual
ⲡ.ⲗⲱⲕϣ							n. m.		weakness
ⲗⲱⲙⲥ	ⲗⲁⲙⲉⲥ					ⲗⲟⲙⲥ	vb. Intr.		to become foul, to stink
ⲡ.ⲗⲱⲙⲥ	ⲗⲁⲙⲉⲥ						n. m.		foulness, putrescence
ⲗⲱⲧⲉ	ⲗⲱⲱⲧⲉ						vb. Intr.		to become hard, callous (of skin)
ⲗⲱⲱⲙⲉ	ⲗⲱⲱⲙ, ⲗⲱⲙ					ⲗⲟⲟⲙⲉ (ⲗⲟⲙⲉ)	vb. Intr.		to wither, fade; to become filthy, dirty, muddy
ⲡ.ⲗⲱⲱⲙⲉ	ⲗⲱⲱⲙ, ⲗⲱⲙ						n. m.		filth; withered appearance
ⲁⲧⲗⲱⲱⲙⲉ									unfading
ⲗⲁⲁⲙ							Q		unfading
ⲗⲱⲱⲥ	ⲗⲱⲥ			ⲗⲉⲥ-		ⲗⲁⲁⲥ (ⲉ )	vb. Tr.		to crush, bruise (ⲙⲙⲟ/)
ⲗⲱⲱⲥ	ⲗⲱⲥ			ⲗⲉⲥ-		ⲗⲁⲁⲥ (ⲉ )	vb. Intr.		to become crushed, bruised
ⲗⲱϩⲙ				ⲗⲉϩⲙ-	ⲗⲟϩⲙ=	ⲗⲟϩⲙ	vb. Tr.		to boil (ⲙⲙⲟ/)
ⲗⲱϩⲙ				ⲗⲉϩⲙ-	ⲗⲟϩⲙ=	ⲗⲟϩⲙ	vb. Intr.		to be boiled
ⲗⲁϩⲙⲉⲥ							n. 		boiled food (?)
ⲗⲱϫ				ⲗⲉϫ-	ⲗⲟϫ=	ⲗⲟϫ	vb. Tr.		to crush, bruise (ⲙⲙⲟ/); to lick (ⲙⲙⲟ/)
ⲗⲱϫ				ⲗⲉϫ-	ⲗⲟϫ=	ⲗⲟϫ	vb. Intr.		to be sticky, adhesive; to stick (to: ⲉ, ⲉϩⲟⲩⲛ ⲛ)
ⲗⲱϫⲕ	ⲗⲱϫϭ, ⲗⲱϫⲧ, ⲗⲟϫϭ=, ⲗⲟⲡⲕ=, ⲗⲟϫⲧ=				ⲗⲟϫⲕ=	ⲗⲟϫⲧ	vb. Intr.		to become sticky, adhesive; to stick (to: ⲉ)
ⲗⲱϫⲕ	ⲗⲱϫϭ, ⲗⲱϫⲧ, ⲗⲟϫϭ=, ⲗⲟⲡⲕ=, ⲗⲟϫⲧ=				ⲗⲟϫⲕ=	ⲗⲟϫⲧ	vb. Tr.		to stick, join (ⲙⲙⲟ/; to: ⲉ); also to lick
ⲗⲱϫϩ				ⲗⲉϫϩ-	ⲗⲟϫϩ=	ⲗⲟϫϩ	vb. Tr.		to crush (ⲙⲙⲟ/); to lick (ⲙⲙⲟ/)
ⲗⲱϫϩ				ⲗⲉϫϩ-	ⲗⲟϫϩ=	ⲗⲟϫϩ	vb. Intr.		to be crushed, effaced
ⲡ.ⲗⲱϫϩ				ⲗⲉϫϩ-	ⲗⲟϫϩ=		n. m.		anguish, oppression
ⲗⲱϭⲉ				ⲗⲉϭ-	ⲗⲟϭ=	ⲗⲏϭ	vb. Tr.		to hide (ⲙⲙⲟ/)
ⲗⲱϭⲉ				ⲗⲉϭ-	ⲗⲟϭ=		reflex.		to hide (ⲙⲙⲟ/)
ⲗϩⲏⲙ	ⲗϩⲙ, ⲉⲗϩⲏⲙ, ⲣϩⲏⲙ						vb. Intr.		to roar
ⲡ.ⲗϩⲏⲙ	ⲗϩⲙ, ⲉⲗϩⲏⲙ, ⲣϩⲏⲙ						n. m.		roaring
ⲡ.ⲗϩⲱⲃ	ⲗϩⲱⲱϥ						n. m.		steam, vapor
ⲡ.ⲙⲁ							n. m.		place; often in spec. senses: dwelling-place, temple or shrine
ⲡⲉⲓⲙⲁ									this world
ⲡⲕⲉⲙⲁ									the other world
ⲡ(_)ⲙⲁ ⲡⲉ									it is (one's) lot or duty (to do: ⲉ)
ⲉ ⲡⲙⲁ ⲛ							prep.		to, toward; regarding, concerning; instead of, in the place of
ⲉⲩⲙⲁ									to one place, together
ⲕⲁⲧⲁ ⲡⲙⲁ									in various, different places
ϣⲁ ⲡⲉⲓⲙⲁ									so far, up to now/here
ϩⲁ ⲡⲙⲁ ⲛ									as regards
ⲙⲁ ⲛⲓⲙ									everywhere
ⲕⲁ-(ⲡ)ⲙⲁ ⲛⲁ_									to give an opportunity to
ⲣ-ⲡⲙⲁ ⲛ									to ake the place of, succeed
ϯ-ⲙⲁ ⲛⲁ_									to allow, permit, give opportunity to
ϫⲓ-ⲙⲁ ⲛⲧⲛ									to usurp the place of
ϭⲙ-ⲙⲁ									to find opportunity
ⲙⲁ	ⲙⲏⲉⲓ=			ⲙⲁ-	ⲙⲁⲧ=			See also §26.3.	imptv. Of ]
ⲙⲁⲁⲃ	ⲙⲁⲁⲃ-, ⲙⲁⲃ-	ⲙⲁⲁⲃⲉ						See also §30.7.	number: thirty
ⲧ.ⲙⲁⲁⲩ	ⲙⲁⲩ						n. f.		mother; also fig. and as title.
ϣⲛ-ⲙⲁⲁⲩ	ϣⲏⲛ ⲙ ⲙⲁⲁⲩ								child having same mother as another
ⲁⲧⲙⲁⲁⲩ									motherless
ⲣ-ⲙⲁⲁⲩ									to become mother
ⲡ.ⲙⲁⲁϫⲉ							n. m.		ear; handle
ⲕⲁ-ⲙⲁⲁϫⲉ ⲉ									to give ear to, incline ear to
ⲣⲓⲕⲉ ⲙ ⲡⲙⲁⲁϫⲉ ⲉ									to give ear to, incline ear to
ⲧ.ⲙⲁⲁϫⲉ	ⲙⲁϫⲉ (ⲙⲁϫ-)						n. f.		a dry measure
ⲡ.ⲙⲁⲉⲓⲛ							n. m.		sign, mark; wonder, miracle
ⲣ-ⲙⲁⲉⲓⲛ									to become marked, remarkable; to indicate (e )
ⲣⲉϥⲉⲓⲣⲉ ⲙ ⲡⲙⲁⲉⲓⲛ									wonder-worker
ϯ-ⲙⲁⲉⲓⲛ									to indicate, point at, signify (e ); to give a sign (to: ⲛⲁ/)
ⲣⲉϥϯ-ⲙⲁⲉⲓⲛ									augur
ϫⲓ-ⲙⲁⲉⲓⲛ									to practice divination, augury
ⲡ.ϫⲓ-ⲙⲁⲉⲓⲛ							n. m.		divination
ⲣⲉϥϫⲓ-ⲙⲁⲉⲓⲛ									augur, diviner
ⲙⲛⲧⲣⲉϥϫⲓ-ⲙⲁⲉⲓⲛ									augury, divination
ⲡ.ⲙⲁⲕⲟⲧ	ⲙⲁⲕⲱⲧ, ⲙⲁⲕⲁ(ⲁ)ⲧ, ⲙⲁⲅⲁⲇ						n. m.		lance, javelin
ⲡ.ⲙⲁⲕϩ	ⲙⲁⲭ, ⲙⲟⲕϩ						n. m.		neck
ϯ-ⲡ(_)ⲙⲁⲕϩ ϩⲁ									to submit to
ⲛⲁϣⲧ-ⲙⲁⲕϩ							adj.		stiff-necked
ⲙⲛⲧⲛⲁϣⲧ-ⲡⲁⲕϩ									stiff-neckedness
ⲣ-ⲛⲁϣⲧ-ⲙⲁⲕϩ									to be stiff-necked
ⲡ.ⲙⲁⲛϭⲁⲗⲉ	ⲙⲁⲛϭⲁⲗⲏ, ⲙⲁⲛϫⲁⲗⲉ						n. m.		pick, hoe; winnowing fan
ⲧ.ⲙⲁⲣⲟⲩⲟϭⲉ	ⲙⲉⲣⲟⲩⲟϭⲉ, ⲙⲣⲟⲩⲟⲟϭⲉ						n. f.		jawbone
ⲙⲁϫⲱϫⲉ			ⲙⲁⲣϫⲟⲟϫⲉ				n.		name of woman's garment
ⲙⲁⲧⲉ									
ⲉⲙⲁⲧⲉ	ⲙⲙⲁⲧⲉ						adv.		very much, greatly; only
ⲙⲁⲧⲉ	ⲙⲁⲁⲧⲉ, ⲙⲉⲧⲉ					ⲙⲁⲧⲱⲟⲩ	vb. Tr.		to reach, attain, obtain, enjoy (ⲙⲙⲟ/)
ⲙⲁⲧⲉ	ⲙⲁⲁⲧⲉ, ⲙⲉⲧⲉ					ⲙⲁⲧⲱⲟⲩ	vb. Intr.		to hit the mark, be successful (in doing: ⲉ. ⲛ + Inf.)
ⲡ.ⲙⲁⲧⲉ	ⲙⲁⲁⲧⲉ, ⲙⲉⲧⲉ						n. m.		success
ϯ-ⲙⲁⲧⲉ							vb. Tr.		=mate
ⲡ.ⲙⲁⲧⲟⲓ	ⲙⲁⲧⲟⲉⲓ						n. m.		soldier
ⲣ-ⲙⲁⲧⲟⲓ						ⲟ ⲛ			to become a soldier
ⲙⲛⲧⲙⲁⲧⲟⲓ									soldiering, warfare
ⲧ.ⲙⲁⲧⲟⲩ							n. f.		poison
ⲃⲁⲕ-ⲙⲁⲧⲟⲩ									poisonous, venomous
ⲙⲁⲩⲁⲧ_	ⲙⲁⲩⲁⲧ=				ⲙⲁⲩⲁⲁ=		intens. Pron.	used appositionally to preceding n. r pron.; see §28.3	self, self alone, owself
ⲧ.ⲙⲁϣⲉ							n. f.		balance, scales
ⲙⲁϣⲟ									
ⲉⲙⲁϣⲟ							adv.		very, greatly
ⲙⲙⲁϣⲟ							adv.		very, greatly
ⲙⲁϣⲣⲧ	ⲙⲁϣⲉⲣⲧ						n. m. f.		cable
ⲡ.ⲙⲁϩ	ⲙⲁⲁϩ						n. m.		nest, brood
ⲡ.ⲙⲁϩ-ⲟⲩⲁⲗ	-ⲃⲁⲗ, ⲙⲉϩ-ⲟⲩⲏⲗ						n. m.		nest, brood
ⲡ.ⲙⲁϩⲉ							n. m.		cubit
ϭⲓⲥ-ⲙⲁϩⲉ									half cubit
ⲡ.ⲙⲁϩⲉ							n. m.		flax
ⲉϥⲣⲁ-ⲙⲁϩⲉ									linseed
ⲡ.ⲙⲁϩⲧ							n. m.		bowels, intestines
ⲙⲉϩⲧ-ⲟ									great intestine
ⲡ.ⲙⲁϫⲉ							n. m.		axe, pick
ⲙⲁϫⲕⲉ	ⲙⲓϫⲕⲉ, ⲙⲉⲕϫⲉ, ⲙⲓϫϭⲉ						n.		a woman's garment
ⲧ.ⲙⲉ	ⲙⲉⲉ, ⲙⲏⲉ						n. f.		truth, justice
ⲙⲉ	ⲙⲉⲉ, ⲙⲏⲉ						adj.	freq.	true, real, genuine; truthful, righteous
ⲙⲛⲧⲙⲉ									truth, righteousness
ⲛⲁⲙⲉ							adv.		truly, in fact
ϩⲛ ⲟⲩⲙⲉ									truly, in fact
ⲣⲙⲙⲙⲉ									an honest person
ⲣ-(ⲧ)ⲙⲉ									to become true, verified
ϫⲉ-,ϫⲓ-(ⲧ)ⲙⲉ									to speak the truth
ⲙⲏⲧ							adj.	archaic	true
ⲙⲉ	ⲙⲉⲓ			ⲙⲉⲣⲉ-	ⲙⲉⲣⲓⲧ=		vb. Tr.		to love, desire, wish (ⲙⲙⲟ/)
ⲙⲉⲣⲉ-								may be used with another Inf.	to love, desire, wish (ⲙⲙⲟ/)
ϣⲟⲩ-ⲙⲉⲣⲓⲧ_									worthy of love
ⲡ.ⲙⲉ	ⲙⲉⲓ			ⲙⲉⲣⲉ-	ⲙⲉⲣⲓⲧ=		n. m.		love
ⲙⲉⲣⲓⲧ			ⲙⲁⲣⲁⲧⲉ				adj.		beloved
ⲙⲉⲉⲣⲉ							n.		midday, noon
ⲙ ⲙⲉⲉⲣⲉ									at noon
ⲙⲉⲉⲩⲉ	ⲙⲉⲩⲉ, ⲙⲉⲉⲩ						vb. Intr.	often w. e as reflex. Or ethical dative	to think (about: ⲉ; that: je); to be about (to do: ⲛ + Inf.) 
ⲡ.ⲙⲉⲉⲩⲉ	ⲙⲉⲩⲉ, ⲙⲉⲉⲩ						n. m.	(+/- =n hyt)	thought, mind
ⲙⲉⲉⲩⲉ ⲉϩⲟⲩⲛ ⲉ									to plot against
ⲙⲉⲉⲩⲉ ⲉⲃⲟⲗ									to ponder, consider
ⲙⲛⲧⲁⲧⲙⲉⲉⲩⲉ									absence of thought
ⲣⲉϥⲙⲉⲉⲩⲉ									one who thinks
ϯ-(ⲡ)ⲙⲉⲉⲩⲉ ⲛⲁ_									to remind
ⲣ-ⲡ(_)ⲙⲉⲉⲩⲉ									to think of, remember (ⲛ) 
ⲡ.ⲣ-ⲡ(_)ⲙⲉⲉⲩⲉ							n. m.		remembrance
ⲧ.ⲙⲉⲗⲱⲧ			ⲙⲉⲗⲁⲧⲉ				n. f.		ceiling, canopy
ⲡ.ⲙⲉⲣⲉϩ	ⲙⲉϩⲣ						n. m.		spear javelin
ϣⲥ-ⲛ-ⲙⲉⲣⲉϩ									thrust of spear
ϥⲁⲓ-ⲙⲉⲣⲉϩ									spear-bearer
ⲧ.ⲙⲉⲥⲧⲛϩⲏⲧ	ⲙⲉⲥⲑⲏⲧ						n. f.		breast, chest
ⲡ.ⲙⲉⲥϩⲱⲗ							n. m.		a file
ⲙⲉⲥⲟⲣⲏ	ⲙⲉⲥⲱⲣⲏ, ⲙⲉⲥⲟⲩⲣⲏ								name of 12th Coptic month
ⲙⲉϣⲉ-				ⲙⲉϣⲉ-	ⲙⲉϣⲁ=		vb.		not to know
ⲙⲉϣⲉ-ⲛⲓⲙ									so-and-so, such-and-such
ⲙⲉϣⲁⲕ	ⲙⲏϣⲁⲕ						adv.		perhaps
ⲡ.ⲙⲉϣⲧⲓⲃⲥ							n. m.		hinge of door
ⲡ.ⲙⲉϩⲣⲟ							n. m.		manure
ⲣⲉϥϯ-ⲙⲉϩⲣⲟ									one who manures
ⲙⲉϫⲡⲱⲛⲉ	ⲙⲉϫⲡⲱⲱⲛⲉ, ⲙⲉϣⲡⲱⲛⲉ						n. m. f.		ulcer, eruption
ⲡ.ⲙⲉϭⲧⲱⲗ							n. m.		tower
ⲧ.ⲙⲏ	ⲙⲓ						n. f.		urine
ⲙⲏ ⲙ ⲙⲟⲟⲩ									urine
ⲙⲏ ⲟⲉⲓⲕ									excrement
ⲣ-ⲙⲏ									to urinate; to defecate
ⲙⲁ ⲛ ⲣ-ⲙⲏ									anus; latrine
ⲡ.ⲙⲏⲏϣⲉ							n. m.		crowd, multitude
ⲙⲏⲏϣⲉ							adj.		many, great, much
ⲙⲏⲛⲉ	ⲙⲏⲏⲛⲉ								
ⲙ ⲙⲏⲛⲉ							adv.		daily, every day
ⲙ ⲙⲏⲛⲉ (ⲙ) ⲙⲏⲛⲉ							adv.		daily, every day
ⲡ.ⲙⲏⲣ							n. m.	not properly Sah.	shore, opposite shore
ⲙⲏⲧ		ⲙⲏⲧⲉ							number: ten
ⲙⲛⲧ-								see §24.3.	prefix for 'teens
ⲥⲟⲩ-ⲙⲏⲧ									tenth day
ⲣⲉ-ⲙⲏⲧ			ⲣⲉ-ⲙⲁⲧⲉ						a tenth part, tithe
ⲧ.ⲙⲏⲧⲉ	ⲙⲏⲏⲧⲉ						n. f.		middle
ⲉ ⲧⲙⲏⲧⲉ									to, into the midst of (ⲛ), between
ⲉ ⲧⲙⲏⲧⲉ							adv.		forward, to a position in front
ϩⲛ_ⲛ ⲧⲙⲏⲧⲉ									in the midst (of: ⲛ); between; at the front
ⲉⲃⲟⲗ ⲛ_ϩⲛ ⲧⲙⲏⲧⲉ									from the midst of (ⲛ), from among
ϩⲓ ⲧⲙⲏⲧⲉ									in through the midst (of: ⲛ)
ⲧ.ⲙⲁⲣ-ⲙⲏⲧⲉ							n. f.		belt
ⲡ.ⲙⲏϩⲉ	ⲙⲉϩⲉ						n. m.		feather
ⲙⲓⲕⲉ							vb. Intr.	also reflex. (with =mmo/)	to rest
ⲡ.ⲙⲓⲕⲉ							n. m.		rest
ϯ-ⲙⲓⲕⲉ ⲛⲁ_									to give rest to
ⲧ.ⲙⲓⲛⲉ	ⲙⲉⲓⲛⲉ						n. f.		kind, sort, species, quality, manner
ⲙⲓⲛⲉ ⲛ							adj.		sort of, kind of, manner of
ⲕⲉⲙⲓⲛⲉ ⲛ									other sort of
ⲙⲓⲛⲉ ⲛⲓⲙ ⲛ									every sort of
ⲁϣ ⲙ ⲙⲓⲛⲉ ⲛ									what sort, what kind of?
ⲛ ⲧⲉⲓⲙⲓⲛⲉ									of this sort, as follows, thus
ⲙⲓⲟ_					ⲙⲓⲟ=		pred.	miok> miw> miwt=n	Hale! Be well! Greetings!
ⲙⲓⲥⲉ	ⲙⲁⲥ-  ⲙⲁⲥⲧ=			ⲙⲉⲥ(ⲧ)-	ⲙⲉⲥⲧ=	ⲙⲟⲥⲉ	vb. Tr.	p.c. mac-> mec-	to bear (ⲙⲙⲟ/), give birth to
ⲙⲓⲥⲉ	ⲙⲁⲥ-  ⲙⲁⲥⲧ=			ⲙⲉⲥ(ⲧ)-	ⲙⲉⲥⲧ=		Q		to be newly born
ⲡ.ⲙⲓⲥⲉ	ⲙⲁⲥ-  ⲙⲁⲥⲧ=			ⲙⲉⲥ(ⲧ)-	ⲙⲉⲥⲧ=		n. m.		offspring; giving birth
ϭⲁⲗⲉ ⲙ ⲙⲓⲥⲉ									born lame
ⲙⲁ ⲙ ⲙⲓⲥⲉ									birth-place
ϩⲟⲟⲩ ⲙ ⲙⲓⲥⲉ									birthday
ϣⲣⲡ-ⲙ-ⲙⲓⲥⲉ									first-born child
ⲙⲛⲧϣⲣⲡ-(ⲙ)ⲙⲓⲥⲉ									status or right of first born
ⲣⲉϥⲙⲓⲥⲉ									one who bears
ⲙⲛⲧⲣⲉϥⲙⲓⲥⲉ									bearing, birth
ⲁⲧⲙⲓⲥⲉ									unborn
ⲧ.ⲙⲏⲥⲉ							n. f.		usury, interest
ϯ ⲉ ⲙⲏⲥⲉ									to lend at interest
ϫⲓ-ⲙⲏⲥⲉ									to take interest
ⲁⲧⲙⲏⲥⲉ									without interest
ⲙⲉⲥ-ϩⲛ-ⲉⲏ							n. m. f.		one born in household
ⲙⲉⲥⲓⲟ  ⲙⲉⲥⲓⲟ_							vb. Tr.		to bring to birth, act as midwife for
ⲧ.ⲙⲉⲥⲓⲱ	ⲙⲉⲥⲓⲟ						n. f.		midwife
ⲣ-ⲙⲉⲥⲓⲱ									to act as midwife
ⲙⲓϣⲉ	ⲙⲉⲓϣⲉ						vb. Intr.		to fight, struggle, quarrel (with, against: ⲙⲛ, ⲟⲩⲃⲉ, e; for, on behalf of: ⲉϫⲛ, ⲉϩⲣⲁⲓ ⲉϫⲛ) to attack (e); to strike (upon: ⲉϫⲛ);
ⲙⲁ ⲙ ⲙⲓϣⲉ									arena
ⲣⲉϥⲙⲓϣⲉ									fighter
ⲣ-ⲣⲉϥⲙⲓϣⲉ									to be hostile, quarrelsome
ϭⲓⲛⲙⲓϣⲉ									art of fighting
ⲙⲕⲁϩ						ⲙⲟⲕϩ	vb. Intr.		to become painful, difficult; to be in pain, grieved (in: ⲉ)
ⲙⲕⲁϩ							Q		to be difficult (to do: ⲉ. ⲛ + Inf.; etre)
ⲡ.ⲙⲕⲁϩ			ⲙⲕⲟⲟϩ				n. m.		pain, difficulty, grief
ⲣ-ⲙⲕⲁϩ									to become pained, grieved, difficult
ϣⲡ-ⲙⲕⲁϩ									to suffer pain
ⲙⲕⲁϩ ⲛ ϩⲏⲧ							vb. Intr.		to be pained or troubled at heart
ⲡ.ⲙⲕⲁϩ ⲛ ϩⲏⲧ							n. m.		pain, grief
ϯ-ⲙⲕⲁϩ ⲛ ϩⲏⲧ									to grieve, vex (ⲛⲁ/)
ⲧ.ⲙⲟⲕϩⲥ	ⲙⲟⲭⲥ						n. f.		grief
ⲡ.ⲙⲗⲁϩ			ⲙⲗⲟⲟϩ				n. m.		battle, -array, troops; quarrel
